,Respondent,Geographic Areas,State,Number of Customers Affected,Outage Start,Outage End
987,Ohio Edison Company,Central and Eastern Ohio,OH ,184000.0,2009-02-13 02:30:00,2009-02-15 03:00:00
988,Midwest ISO,Central and Eastern Ohio,OH ,184000.0,2009-02-12 02:30:00,2009-02-12 06:00:00
989,Penelec,Western and North Eastern Pennsylvania,PA ,132000.0,2009-02-12 08:00:00,2009-02-15 22:00:00
990,Allegheny Power,"Maryland, Virginia, West Virginia and Pennsylvania",MD PA VA WV ,374644.0,2009-02-11 18:18:00,2009-02-16 20:10:00
991,American Electric Power,"Kentucky, West Virginia and Ohio",KY WV OH ,279813.0,2009-02-11 18:00:00,2009-02-13 17:00:00
992,Midwest ISO,Northern Kentucky and Southwest Ohio,KY OH ,63000.0,2009-02-11 21:00:00,2009-02-12 12:00:00
993,CenterPoint Energy,"Houston, Texas",TX TX ,64801.0,2009-02-11 02:30:00,2009-02-11 12:00:00
994,Louisville Gas and Electric/Kentucky Utilities,State of Kentucky,KY ,78000.0,2009-02-11 19:00:00,2009-02-12 11:00:00
995,Midwest ISO,East Central Missouri,MO ,1.0,2009-01-28 00:10:00,2009-01-30 21:20:00
996,Duke Energy Ohio,Northern Kentucky and Southwest Ohio,KY OH ,53600.0,2009-01-28 10:00:00,2009-01-30 21:20:00
997,Duke Energy Indiana,Southern Indiana,IN ,53700.0,2009-01-28 07:50:00,2009-02-13 08:03:00
998,Midwest ISO,"Illinois, Indiana, Ohio and Kentucky",IL IN KY OH ,230300.0,2009-01-28 03:00:00,2009-02-13 08:03:00
999,Tennessee Valley Authority,Northeast Tennessee and Southwest Kentucky,KY TN ,109527.0,2009-01-28 09:00:00,2009-02-05 08:00:00
1000,Vectren Energy Delivery of Indiana,"Indiana, Evansville, Metro Area",IN ,75000.0,2009-01-28 06:00:00,2009-02-05 18:00:00
1001,Henderson Municipal Power and Light,"City of Henderson, Kentucky and Portions of Henderson County, Kentucky",KY ,3500.0,2009-01-28 04:00:00,2009-02-07 17:00:00
1002,American Electric Power,CSWS-AEP West,,59402.0,2009-01-27 15:43:00,2009-01-29 09:00:00
1003,Big Rivers Electric Corporation,Western Kentucky and Southern Indiana,IN KY ,3.0,2009-01-27 07:10:00,2009-02-04 19:30:00
1004,"Associated Electric Cooperative, Inc.",South Central and Southeast Missouri,MO ,62500.0,2009-01-27 11:00:00,2009-01-30 18:00:00
1005,Arkansas Electric Cooperative Corporation,Northern Arkansas,AR ,215700.0,2009-01-27 21:00:00,2009-01-29 06:00:00
1006,"East Kentucky Power Cooperative, Inc.",Central and Eastern Kentrucky,KY ,190000.0,2009-01-27 05:03:00,2009-01-31 17:15:00
1007,Entergy Corporation,Northern Arkansas,AR ,111818.0,2009-01-27 13:46:00,2009-02-03 17:00:00
1008,Louisville Gas and Electric/Kentucky Utilities,State of Kentucky,KY ,383000.0,2009-01-27 05:00:00,2009-01-29 16:30:00
1009,Tennessee Valley Autbority,TVA Service Territory,TN ,1.0,2009-01-27 21:45:00,2009-01-27 22:17:00
1010,Crawfordsville Electric Light and Power,"Crawfordsville, Indiana",IN ,9700.0,2009-01-22 16:00:00,2009-01-22 17:05:00
1011,"State Line Energy, LLC","PJM, Indiana",IN ,,2009-01-17 08:00:00,2009-01-25 08:00:00
1012,Florida Keys Electric Cooperative Assoc. Inc.,Florida Keys,FL FL ,31000.0,2009-01-08 23:46:00,2009-01-09 11:25:00
1013,Duke Energy Carolinas,Piedmont of North and South Carolina,SC ,70000.0,2009-01-07 17:00:00,2009-01-07 20:05:00
1014,"Oncor Electric Delivery Company, LLC",North and Central Texas,TX ,157019.0,2009-01-05 05:00:00,2009-01-06 18:00:00
