,Respondent,Geographic Areas,State,Number of Customers Affected,Outage Start,Outage End
604,City of Tacoma (TPWR),"Fredrickson, Washington",WA ,,2011-07-29 11:46:00,2011-07-29 17:00:00
605,FirstEnergy Corp: Jersey Central Power & Light,Central New Jersey,NJ ,67900.0,2011-07-29 20:45:00,2011-08-01 04:24:00
606,City of Tacoma (TPWR),"Spanaway, Washington",WA ,,2011-07-28 19:25:00,2011-07-28 19:25:00
607,Northern Indiana Public Service Company (NIPSCO),Indiana,IN ,,2011-07-28 13:32:00,2011-07-28 13:32:00
608,Exelon Corporation/ComEd,"Entire ComEd Territory, Indiana",IN ,201000.0,2011-07-28 00:14:00,2011-07-29 12:00:00
609,Owensboro Municipal Utilities,"Daviess County, Kentucky",KY ,,2011-07-28 07:26:00,2011-07-29 07:26:00
610,Tacoma Power (TPWR),"Fife, Washington",WA ,,2011-07-27 12:07:00,2011-07-27 12:08:00
611,Western Farmers Electric Cooperative,"Backup Control Center, Oklahoma",OK ,0.0,2011-07-26 12:01:00,2011-07-26 12:01:00
612,Public Service of NH (Northeast Utilities),"Southern, New Hampshire",NH ,0.0,2011-07-24 14:34:00,2011-07-24 15:47:00
613,Exelon Corporation/ComEd,Illinois,IL ,169000.0,2011-07-23 02:30:00,2011-07-24 09:00:00
614,Niagara Mohawk Power Corporation (dba National Grid),"Upstate, New York",NY ,,2011-07-22 11:00:00,2011-07-22 18:00:00
615,PJM Interconnection,Ohio,OH ,23000.0,2011-07-22 11:34:00,2011-07-22 17:26:00
616,City Water Light and Power,"Springfield, Illinois",IL ,,2011-07-21 13:00:00,2011-07-21 15:00:00
617,Consumers Energy,"Lower Peninsula, Michigan",MI ,,2011-07-21 12:32:00,2011-07-22 06:30:00
618,Tacoma Power (TPWR),"Frederickson Substation, Washington",WA ,,2011-07-20 09:10:00,2011-07-20 16:30:00
619,Central Maine Power Company,Maine,ME ,,2011-07-19 11:45:00,2011-07-19 15:00:00
620,"Detroit Edison, Subsidiary of DTE Energy",Southeast Michigan,MI MI ,197166.0,2011-07-18 17:00:00,2011-07-24 13:30:00
621,ERCOT ISO,Texas,TX ,0.0,2011-07-14 11:00:00,2011-07-14 19:00:00
622,Public Service Company of Colorado,"Pueblo, Colorado",CO ,,2011-07-13 17:19:00,2011-07-13 22:03:00
623,Gen On,California,CA ,,2011-07-12 20:20:00,2011-07-12 21:30:00
624,Central Maine Power Company,Maine,ME ,0.0,2011-07-12 12:00:00,2011-07-12 12:00:00
625,American Electric Power (AEP),"Indiana, Michigan, Ohio",IN MI OH ,120000.0,2011-07-11 14:27:00,2011-07-12 15:50:00
626,Central Maine Power Company,Maine,ME ,0.0,2011-07-11 13:30:00,2011-07-11 13:30:00
627,Duke Energy,Southwest Ohio,OH ,0.0,2011-07-11 13:13:00,2011-07-11 13:13:00
628,"Detroit Edison, Subsidiary of DTE Energy",Michigan,MI MI ,103000.0,2011-07-11 09:00:00,2011-07-11 10:25:00
629,Exelon Corporation/ComEd,Illinois,IL ,500000.0,2011-07-11 09:00:00,2011-07-11 09:00:00
630,Consumers Energy,Western and Southern Lower Peninsula Michigan,MI ,85000.0,2011-07-11 11:15:00,2011-07-12 08:15:00
631,Minnesota Power,"Saginaw, Minnesota",MN ,0.0,2011-07-08 10:00:00,2011-07-08 10:00:00
632,PJM Interconnection,"PJM Corporate Office, Pennsylvania",PA ,,2011-07-08 10:00:00,2011-07-11 09:00:00
633,ISO New England,Vermont,VT ,,2011-07-06 09:51:00,2011-07-06 09:52:00
634,PacifiCorp,West Valley Substation Utah,UT ,0.0,2011-07-05 10:40:00,2011-07-05 11:37:00
635,Dominion Virginia Power,Virginia,VA ,51580.0,2011-07-04 18:00:00,2011-07-04 21:00:00
636,"Detroit Edison, Subsidiary of DTE Energy","South East, Lower Peninsula, Michigan",MI MI ,182000.0,2011-07-02 20:15:00,2011-07-06 22:00:00
637,Dayton Power & Light,Greene County Ohio,OH ,0.0,2011-07-01 16:38:00,2011-07-01 22:38:00
638,Xcel Energy Northern States Power Company,Southwest and South Central Minnesota,MN ,70000.0,2011-07-01 17:00:00,2011-07-03 20:00:00
639,ISO New England,"CONVEX Local Control Center, Connecticut",CO CT NV ,0.0,2011-07-01 08:00:00,2011-07-01 08:01:00
640,Salt River Project,"Phoenix, Arizona",AZ ,160000.0,2011-06-30 14:11:00,2011-06-30 23:25:00
641,Tacoma Power (TPWR),"Olympic Pipeline Substation, Washington",WA ,0.0,2011-06-30 22:31:00,2011-06-30 22:31:00
642,Exelon Corporation/ComEd,Illinois,IL ,121000.0,2011-06-30 22:30:00,2011-07-01 17:00:00
643,Southwestern Public Service,"Panhandle and Muleshoe, Texas",TX ,0.0,2011-06-29 11:30:00,2011-06-29 18:04:00
644,ERCOT ISO,Texas,TX ,0.0,2011-06-27 15:00:00,2011-06-27 19:00:00
645,City of Tacoma (TPWR),"Olympic Pipeline Substation, Washington",WA ,,2011-06-27 18:55:00,2011-06-27 18:55:00
646,AMEREN,Illinois; Missouri,IL MO ,80000.0,2011-06-27 00:00:00,2011-06-29 01:00:00
647,Southern Company,Alabama; Georgia,AL GA ,90160.0,2011-06-26 18:00:00,2011-06-27 13:00:00
648,Sunflower Electric Power Corporation,Southwest Kansas,KS ,,2011-06-26 16:46:00,2011-06-27 07:59:00
649,Southern Company,North/North Central Alabama; Georgia,AL GA ,102275.0,2011-06-24 18:30:00,2011-06-25 01:30:00
650,ISO New England/Velco,"Highgate, Vermont",VT ,0.0,2011-06-23 08:10:00,2011-06-23 09:00:00
651,Tacoma Power (TPWR),"Knoble Substation, Spanaway, Washington",WA ,0.0,2011-06-22 20:12:00,2011-06-22 20:12:00
652,Tennessee Valley Authority (TVA),"Knoxville, Tennessee",TN ,106300.0,2011-06-22 09:46:00,2011-06-22 09:46:00
653,Southern Company,Alabama; Georgia,AL GA ,75101.0,2011-06-22 19:00:00,2011-06-23 01:00:00
654,American Electric Power (AEP),AEP Region,,56000.0,2011-06-21 18:30:00,2011-06-22 07:00:00
655,Exelon Corporation/ComEd,Illinois,IL ,300000.0,2011-06-21 21:45:00,2011-06-23 02:00:00
656,Tacoma Power (TPWR),"Collins Substation, Washington",WA ,0.0,2011-06-20 10:36:00,2011-06-20 10:36:00
657,West Memphis Utilities,"Eastern, Arkansas",AR ,,2011-06-18 16:45:00,2011-06-20 23:59:00
658,Duke Energy Carolinas,North Carolina; South Carolina,NC SC ,70000.0,2011-06-18 17:00:00,2011-06-18 21:33:00
659,Southern Company,"Northern, Georgia",GA ,93828.0,2011-06-18 15:30:00,2011-06-19 15:42:00
660,PacifiCorp,"Bingham County, Idaho",ID ,,2011-06-15 16:00:00,2011-06-16 06:30:00
661,Southern Company,Georgia,GA ,169000.0,2011-06-15 19:15:00,2011-06-16 06:00:00
662,Duke Energy,"Piedmont, North Carolina",NC ,70135.0,2011-06-15 19:17:00,2011-06-16 01:45:00
663,Dominion Virginia Power,Virginia,VA ,56000.0,2011-06-12 19:00:00,2011-06-12 20:30:00
664,Southern California Edison (SCE),"San Antonio Dam Area, Los Angeles County, California",CA CA CA ,0.0,2011-06-09 14:15:00,2011-06-09 14:15:00
665,ISO New England/Northeast Utilities,"Western, Massachusetts; Connecticut",CT MA ,100000.0,2011-06-09 17:51:00,2011-06-10 12:00:00
666,Exelon Corporation/ComEd,Illinois,IL ,169000.0,2011-06-09 04:30:00,2011-06-09 12:00:00
