Event Description,Year,Date Event Began,Time Event Began,Date of Restoration,Time of Restoration,Respondent,Geographic Areas,NERC Region,Demand Loss (MW),Number of Customers Affected,Tags
Severe Weather - Thunderstorms,2012,6/29/2012,5:15 PM,7/2/2012,11:59 PM,Duke Energy Midwest,Eastern Indiana; Northern Kentucky; Greater Cincinnati area Ohio,RFC,"2,946",4645572.0,"severe weather, thunderstorm"
Public Appeal to Reduce Electricity Usage,2012,6/29/2012,4:00 PM,6/29/2012,9:00 PM,Entergy,"Eastern, Arkansas",SERC,45,7935.0,public appeal
Severe Weather - Thunderstorms,2012,6/29/2012,7:00 PM,7/7/2012,7:43 PM,FirstEnergy (Potomac Edison),Maryland; West Virginia,RFC,UNK,145000.0,"severe weather, thunderstorm"
Severe Weather - Thunderstorms,2012,6/29/2012,2:10 PM,7/4/2012,6:00 PM,Dayton Power & Light,"Dayton, Ohio",RFC,500,175000.0,"severe weather, thunderstorm"
Equipment Trip & Failure,2012,6/29/2012,12:10 PM,6/29/2012,5:02 PM,Puerto Rico Electric Power Authority (PREPA),Puerto Rico,PR,"1,800",900000.0,equipment failure
Severe Weather - Thunderstorms,2012,6/29/2012,4:00 PM,7/2/2012,4:00 PM,American Electric Power (AEP),Indiana; Michigan; Ohio; West Virginia,RFC,UNK,1355919.0,"severe weather, thunderstorm"
Severe Weather - Thunderstorms,2012,6/29/2012,10:29 PM,7/4/2012,3:36 PM,Dominion,Virginia,SERC,"5,000",880000.0,"severe weather, thunderstorm"
Severe Weather - Thunderstorms,2012,6/29/2012,10:15 PM,7/5/2012,12:52 PM,Pepco,"Montgomery and Prince Georges Counties, Maryland; District of Columbia",RFC,"3,000",425000.0,"severe weather, thunderstorm"
Severe Weather - Thunderstorms,2012,6/29/2012,10:43 PM,7/5/2012,11:50 AM,Baltimore Gas & Electric Company (BGE),"Greater Baltimore area, Maryland",RFC,"1,465",600000.0,"severe weather, thunderstorm"
Physical Attack,2012,6/29/2012,10:45 AM,6/29/2012,10:45 AM,Delmarva Power & Light Company,"New Castle, Delaware",RFC,0,0.0,"vandalism, physical"
Severe Weather - Thunderstorms,2012,6/29/2012,6:24 PM,7/6/2012,10:00 AM,FirstEnergy (Mon Power),West Virginia,RFC,700,265000.0,"severe weather, thunderstorm"
Severe Weather - Thunderstorms,2012,6/29/2012,11:30 PM,6/30/2012,2:00 AM,Exelon Corporation/ComEd,Northeast Illinois,RFC,UNK,109000.0,"severe weather, thunderstorm"
Severe Weather - Wind & Rain,2012,6/25/2012,4:04 PM,6/26/2012,1:45 PM,Dominion,Central Virginia,SERC,600,190000.0,"severe weather, wind, rain"
Load Shed,2012,6/23/2012,6:57 PM,6/23/2012,7:28 PM,ISO New England,"North Shore, Massachusetts",NPCC,51,29250.0,load shedding
Severe Weather - Thunderstorms,2012,6/19/2012,4:30 AM,6/20/2012,11:00 PM,Xcel Energy,"Minneapolis/St. Paul, Minnesota",MRO,UNK,68200.0,"severe weather, thunderstorm"
Fuel Supply Deficiency (Water),2012,6/19/2012,5:30 AM,6/21/2012,5:30 AM,California Department of Water Resources,CAISO Territory California,WECC,UNK,,"fuel supply emergency, hydro"
Vandalism,2012,6/13/2012,4:55 PM,6/13/2012,10:09 PM,Public Service Company of New Mexico,"San Juan County, New Mexico",WECC,0,0.0,vandalism
Severe Weather - Thunderstorms,2012,6/12/2012,3:57 PM,6/14/2012,4:57 AM,CenterPoint Energy,"Houston, Texas",TRE,920,175000.0,"severe weather, thunderstorm"
Severe Weather - Thunderstorms,2012,6/11/2012,7:50 PM,6/12/2012,3:00 PM,Southern Company,North/Central Alabama; North/Central Georgia,SERC,368,110591.0,"severe weather, thunderstorm"
Load Shed,2012,6/8/2012,5:20 PM,6/8/2012,5:25 PM,Public Service Company of Colorado,"Denver Metro Area, Colorado",WECC,120,30379.0,load shedding
Vandalism,2012,6/6/2012,12:37 PM,6/6/2012,12:37 PM,Potomac Electric Power Company (PEPCO),"Columbia Heights, NW, Washington DC",RFC,0,0.0,vandalism
Vandalism,2012,6/6/2012,8:00 AM,6/6/2012,8:00 AM,New York Power Authority,"Delhi, New York",NPCC,,,vandalism
Vandalism,2012,6/2/2012,7:30 AM,6/2/2012,11:35 AM,Pacific Gas and Electric Company,"San Francisco, California",WECC,,,vandalism
Physical Attack,2012,5/31/2012,11:45 PM,6/1/2012,4:30 AM,American Electric Power (AEP),"Columbus, Ohio",RFC,0,0.0,"vandalism, physical"
Physical Attack,2012,5/29/2012,6:30 PM,5/29/2012,7:40 PM,Tacoma Power (TPWR),"Alder Dam, Pierce County, Washington",WECC,,,"vandalism, physical"
Severe Weather - Thunderstorms,2012,5/29/2012,8:35 PM,5/31/2012,10:00 AM,Oklahoma Gas & Electric,"Oklahoma City Metro Area, Oklahoma",SPP,UNK,112000.0,"severe weather, thunderstorm"
Physical Attack,2012,5/24/2012,3:20 PM,5/25/2012,5:29 PM,ISO New England,"Tyngsborough, Massachusetts",NPCC,UNK,,"vandalism, physical"
Vandalism,2012,5/11/2012,11:05 AM,5/11/2012,11:20 AM,Tacoma Power (TPWR),"Lakewood, Washington",WECC,,,vandalism
Load Shed/Severe Weather  - Lightning Storm,2012,5/7/2012,5:45 PM,5/7/2012,6:06 PM,American Electric Power (AEP),Eastern Ohio,RFC,420,1.0,"load shedding, severe weather, thunderstorm"
Vandalism,2012,5/7/2012,12:50 PM,5/7/2012,2:00 PM,ISO New England,"Williston, Vermont",NPCC,0,0.0,vandalism
Suspected Physical Attack,2012,4/23/2012,11:56 AM,4/23/2012,3:35 PM,Seattle City Light,"Snohomish County, Washington",WECC,,,"vandalism, physical"
Suspected Physical Attack,2012,4/23/2012,8:11 AM,4/23/2012,12:47 PM,Northern Indiana Public Service Company (NIPSCO),Northwest Indiana,RFC,,,"vandalism, physical"
Physical Attack,2012,4/21/2012,3:02 PM,4/21/2012,8:09 PM,ISO New England,"East Bridgewater, Massachusetts",NPCC,,,"vandalism, physical"
Suspected Physical Attack,2012,4/21/2012,8:55 PM,4/23/2012,4:30 PM,Tacoma Power (TPWR),"Tacoma, Washington",WECC,,,"vandalism, physical"
Severe Weather - Thunderstorms,2012,4/20/2012,2:27 PM,4/21/2012,4:27 AM,CenterPoint Energy,"Metropolitan Houston, Texas",TRE,,120377.0,"severe weather, thunderstorm"
Suspected Physical Attack,2012,4/19/2012,7:53 AM,4/19/2012,4:00 PM,Tacoma Power (TPWR),"Tacoma, Washington",WECC,,,"vandalism, physical"
Suspected Physical Attack,2012,4/17/2012,6:11 AM,4/17/2012,5:48 PM,San Diego Gas & Electric Company,"San Diego County, California",WECC,0,0.0,"vandalism, physical"
Severe Weather - High Winds,2012,4/16/2012,3:46 PM,4/19/2012,2:00 AM,"Detroit Edison, Subsidiary of DTE Energy","Southeast, Michigan",RFC,218,111393.0,"severe weather, wind"
Suspected Physical Attack,2012,4/15/2012,7:38 PM,4/15/2012,9:26 PM,Southern Company,Georgia,SERC,UNK,,"vandalism, physical"
Suspected Physical Attack,2012,4/12/2012,8:08 AM,4/12/2012,4:30 PM,Tacoma Power (TPWR),"Tacoma, Washington",WECC,,,"vandalism, physical"
Vandalism,2012,4/11/2012,9:00 AM,4/11/2012,9:00 AM,North Attleborough Electric Department,"North Attleboro, Massachusetts",NPCC,0,0.0,vandalism
Physical Attack,2012,4/7/2012,2:35 PM,4/7/2012,2:36 PM,Delmarva Power & Light Company,"Newark, Delaware",RFC,0,0.0,"vandalism, physical"
Physical Attack,2012,4/7/2012,12:25 PM,4/7/2012,12:26 PM,Delmarva Power & Light Company,"Newark, Delaware",RFC,0,0.0,"vandalism, physical"
Physical Attack,2012,4/7/2012,9:31 AM,4/7/2012,9:32 AM,Delmarva Power & Light Company,"Newark, Delaware",RFC,0,0.0,"vandalism, physical"
