Screen Name,Status ID,Text,Local Timestamp,Likes,Retweets,State
trace_1114,1.5147180059171226e+17,Senators take a 3-2 advantage.  Power play goal by Tim Conboy. #crap,8:17 PM - 26 Dec 2011,"Like
    
      
    
  
  
    
      
      
      Liked","Retweet
    
      
    
  
  
    
      
      Retweeted",MA
trace_1114,1.5146799689486336e+17,GOAL!  Make it 2-1 on the power play!  Mike Sislo from Joe Whitney.,8:02 PM - 26 Dec 2011,"Like
    
      
    
  
  
    
      
      
      Liked","Retweet
    
      
    
  
  
    
      
      Retweeted",MA
13905,1.5119962877002957e+17,Car Crash Causes Power Outage in Binghamton http://bit.ly/rNSsmj  via http://outside.in/13905,2:16 AM - 26 Dec 2011,"Like
    
      
    
  
  
    
      
      
      Liked","Retweet
    
      
    
  
  
    
      
      Retweeted",MA
JimmyKimmelLive,1.0826846925187276e+18,.@IamGuillermo’s amazing New Year’s resolution brought to life thanks to @ChevyTrucks… #adpic.twitter.com/TMGdujVGjn,12:05 PM - 8 Jan 2019,"Like
    
      
    1.1K
  
  
    
      
      
      Liked
    
      
    1.1K","Retweet
    
      
    86
  
  
    
      
      Retweeted
    
      
    86",MA
13904,1.5119962876164096e+17,Car Crash Causes Power Outage in Binghamton http://bit.ly/sNr2g8  via http://outside.in/13904,2:16 AM - 26 Dec 2011,"Like
    
      
    
  
  
    
      
      
      Liked","Retweet
    
      
    
  
  
    
      
      Retweeted",MA
13901,1.5119962833801626e+17,Car Crash Causes Power Outage in Binghamton http://bit.ly/shbCF1  via http://outside.in/13901,2:16 AM - 26 Dec 2011,"Like
    
      
    
  
  
    
      
      
      Liked","Retweet
    
      
    
  
  
    
      
      Retweeted",MA
13903,1.5119962737331405e+17,Car Crash Causes Power Outage in Binghamton http://bit.ly/usRPwP  via http://outside.in/13903,2:16 AM - 26 Dec 2011,"Like
    
      
    
  
  
    
      
      
      Liked","Retweet
    
      
    
  
  
    
      
      Retweeted",MA
13850,1.5119962547749683e+17,Car Crash Causes Power Outage in Binghamton http://bit.ly/uGCSYo  via http://outside.in/13850,2:16 AM - 26 Dec 2011,"Like
    
      
    
  
  
    
      
      
      Liked","Retweet
    
      
    
  
  
    
      
      Retweeted",MA
13790,1.511996242024284e+17,Car Crash Causes Power Outage in Binghamton http://bit.ly/ub3Tbx  via http://outside.in/13790,2:16 AM - 26 Dec 2011,"Like
    
      
    
  
  
    
      
      
      Liked","Retweet
    
      
    
  
  
    
      
      Retweeted",MA
Lil_RiRi,1.4679679141584077e+17,This 5 hour energy works but these girls are whispering a storm up in here! Stfu!,10:40 PM - 13 Dec 2011,"Like
    
      
    
  
  
    
      
      
      Liked","Retweet
    
      
    
  
  
    
      
      Retweeted",MA
Lil_RiRi,1.4670800900182835e+17,Coughing up a storm. Hope I don't make this whole room sick,4:48 PM - 13 Dec 2011,"Like
    
      
    
  
  
    
      
      
      Liked","Retweet
    
      
    
  
  
    
      
      Retweeted",MA
