Screen Name,Status ID,Text,Local Timestamp,Likes,Retweets,State
_SydneySharae_,1.2681354766463795e+17,No power means no heat...we gon freeze,7:14 PM - 19 Oct 2011,"Like
    
      
    
  
  
    
      
      
      Liked","Retweet
    
      
    
  
  
    
      
      Retweeted",VT
_SydneySharae_,1.268110284146729e+17,Sooooo the power just went out,7:04 PM - 19 Oct 2011,"Like
    
      
    
  
  
    
      
      
      Liked","Retweet
    
      
    
  
  
    
      
      Retweeted",VT
OG_reezy,1.2542696993967309e+17,Power,11:24 PM - 15 Oct 2011,"Like
    
      
    
  
  
    
      
      
      Liked","Retweet
    
      
    
  
  
    
      
      Retweeted",VT
PolaBearLaflare,1.2390082104905728e+17,"Puffin purple hash, welcome to my power circle!",6:20 PM - 11 Oct 2011,"Like
    
      
    
  
  
    
      
      
      Liked","Retweet
    
      
    
  
  
    
      
      Retweeted",VT
LegoMyKevo,1.2346378859380736e+17,New whip looking like a storm trooper  http://yfrog.com/g0xh0fej,1:23 PM - 10 Oct 2011,"Like
    
      
    
  
  
    
      
      
      Liked","Retweet
    
      
    
  
  
    
      
      Retweeted",VT
TheQueenBMILLER,1.210013056270336e+17,"It's clear to me now. I just read my horoscope. #Cancer, today it's all about owning people & messing stuff up; Our power reigns supreme.",6:18 PM - 3 Oct 2011,"Like
    
      
    
  
  
    
      
      
      Liked","Retweet
    
      
    
  
  
    
      
      Retweeted",VT
LefoverLasagna,1.1923187077598822e+17,My battery power sucks hiv dick.,9:07 PM - 28 Sep 2011,"Like
    
      
    
  
  
    
      
      
      Liked","Retweet
    
      
    
  
  
    
      
      Retweeted",VT
AdamG_27,1.1922646537510912e+17,The chick on xFactor right now reminds me of the original yellow power ranger.,8:46 PM - 28 Sep 2011,"Like
    
      
    
  
  
    
      
      
      Liked","Retweet
    
      
    
  
  
    
      
      Retweeted",VT
shelby_bishopp,1.1557920979931136e+17,"The deeper you love someone, the greater power they have to hurt you. So love wisely",7:13 PM - 18 Sep 2011,"Like
    
      
    
  
  
    
      
      
      Liked","Retweet
    
      
    
  
  
    
      
      Retweeted",VT
KokomoIN,1.1053769314599731e+17,tropical storm lee will bring torrential rainfall to much of the arklamiss through labor day… …flash flood watch remains… http://j.mp/pH0C3B,9:20 PM - 4 Sep 2011,"Like
    
      
    
  
  
    
      
      
      Liked","Retweet
    
      
    
  
  
    
      
      Retweeted",VT
KokomoIN,1.1037908225610138e+17,tropical storm lee will bring torrential rainfall to much of the arklamiss through the first half of labor day… …flash f… http://j.mp/oCDTHu,10:49 AM - 4 Sep 2011,"Like
    
      
    
  
  
    
      
      
      Liked","Retweet
    
      
    
  
  
    
      
      Retweeted",VT
Vanguard_Group,1.0826531512310129e+18,Make the most of your earnings,10:00 AM - 8 Jan 2019,"Like
    
      
    11
  
  
    
      
      
      Liked
    
      
    11","Retweet
    
      
    2
  
  
    
      
      Retweeted
    
      
    2",VT
KokomoIN,1.0995182449211392e+17,tropical storm lee will bring torrential rainfall to much of the arklamiss through labor day holiday… …flash flood watch… http://j.mp/oP4erh,6:32 AM - 3 Sep 2011,"Like
    
      
    
  
  
    
      
      
      Liked","Retweet
    
      
    
  
  
    
      
      Retweeted",VT
KokomoIN,1.0985071390294426e+17,tropical storm lee will bring torrential rainfall to much of the arklamiss this weekend… …flash flood watch remains in e… http://j.mp/o8bXey,11:50 PM - 2 Sep 2011,"Like
    
      
    
  
  
    
      
      
      Liked","Retweet
    
      
    
  
  
    
      
      Retweeted",VT
KokomoIN,1.097524428785746e+17,tropical storm lee will bring torrential rainfall to much of the arklamiss this weekend… …flash flood watch in effect fr… http://j.mp/rh0rXn,5:19 PM - 2 Sep 2011,"Like
    
      
    
  
  
    
      
      
      Liked","Retweet
    
      
    
  
  
    
      
      Retweeted",VT
GetMarEnginJobs,1.0930181235553894e+17,"Power Electronics Mec... - #Kokomo , IN (http://tinyurl.com/3jg9axq ) Get Marine Engineering Jobs #MarineEngineering #jobs #job #GetAllJobs",11:29 AM - 1 Sep 2011,"Like
    
      
    
  
  
    
      
      
      Liked","Retweet
    
      
    
  
  
    
      
      Retweeted",VT
GetCivEnginJobs,1.0915060970541875e+17,"Power Electronics Elect... - #Kokomo , IN (http://tinyurl.com/3bvsllw ) Get Civil Engineering Jobs #CivilEngineering #jobs #job #GetAllJobs",1:28 AM - 1 Sep 2011,"Like
    
      
    
  
  
    
      
      
      Liked","Retweet
    
      
    
  
  
    
      
      Retweeted",VT
GetMecEnginJobs,1.0911891898723123e+17,"Power Electronics M... - #Kokomo , IN (http://tinyurl.com/3n3fk4f ) Get Mechanical Engineer Jobs #MechanicalEngineer #jobs #job #GetAllJobs",11:22 PM - 31 Aug 2011,"Like
    
      
    
  
  
    
      
      
      Liked","Retweet
    
      
    
  
  
    
      
      Retweeted",VT
GetMinEnginJobs,1.0910389234368512e+17,"Power Electronics Ele... - #Kokomo , IN (http://tinyurl.com/3qmfzcj ) Get Mining Engineering Jobs #MiningEngineering #jobs #job #GetAllJobs",10:22 PM - 31 Aug 2011,"Like
    
      
    
  
  
    
      
      
      Liked","Retweet
    
      
    
  
  
    
      
      Retweeted",VT
GetIndDesigJobs,1.0909385120507904e+17,"Power Electronics Mecha... - #Kokomo , IN (http://tinyurl.com/3vx5wdv ) Get Industrial Design Jobs #IndustrialDesign #jobs #job #GetAllJobs",9:42 PM - 31 Aug 2011,"Like
    
      
    
  
  
    
      
      
      Liked","Retweet
    
      
    
  
  
    
      
      Retweeted",VT
GetMecEnginJobs,1.081420644993024e+17,"Power Electronics M... - #Kokomo , IN (http://tinyurl.com/3g7u48v ) Get Mechanical Engineer Jobs #MechanicalEngineer #jobs #job #GetAllJobs",6:40 AM - 29 Aug 2011,"Like
    
      
    
  
  
    
      
      
      Liked","Retweet
    
      
    
  
  
    
      
      Retweeted",VT
SlickJames19,1.0676140827594342e+17,Easiest job power washin houses before you paint them,11:14 AM - 25 Aug 2011,"Like
    
      
    
  
  
    
      
      
      Liked","Retweet
    
      
    
  
  
    
      
      Retweeted",VT
TyRoseMusic,1.0653622919718912e+17,Well……there's a storm……I'm thinking time for bed. Yep……I'll get the sleeping pills……,8:19 PM - 24 Aug 2011,"Like
    
      
    
  
  
    
      
      
      Liked","Retweet
    
      
    
  
  
    
      
      Retweeted",VT
eventcrazy_in,1.0513456204835226e+17,"Hesston Steam and Power Show: Sep 02, 2011 - Sep 05, 2011 Laporte, IN 46360 http://dlvr.it/h7BRJ  #EventCrazyIN #LaporteIN",11:30 PM - 20 Aug 2011,"Like
    
      
    
  
  
    
      
      
      Liked","Retweet
    
      
    
  
  
    
      
      Retweeted",VT
MEGScolli,1.0511146671736013e+17,It's about to storm. I see it on the horizon.,9:58 PM - 20 Aug 2011,"Like
    
      
    
  
  
    
      
      
      Liked","Retweet
    
      
    
  
  
    
      
      Retweeted",VT
BIGK1994,1.0502389046772531e+17,It's about to storm,4:10 PM - 20 Aug 2011,"Like
    
      
    
  
  
    
      
      
      Liked","Retweet
    
      
    
  
  
    
      
      Retweeted",VT
